Date,Elevation (ft)
1847/10/15,4199.8
1848/7/15,4201
1848/9/15,4199.8
1849/6/15,4201.1
1849/10/15,4199.9
1850/6/15,4201.2
1850/10/15,4199.9
1851/7/15,4202
1851/12/15,4200.6
1852/7/15,4202.9
1852/11/15,4201.9
1853/7/15,4204
1854/1/15,4203
1854/7/15,4204.4
1854/12/15,4203.6
1855/6/15,4204.6
1855/10/15,4203.1
1856/6/15,4204.3
1856/12/15,4203.1
1857/7/15,4203.9
1857/10/15,4202.1
1858/7/15,4203.1
1858/11/15,4201.1
1859/6/15,4201.8
1859/10/15,4200.3
1860/7/15,4201.5
1860/12/15,4199.5
1861/7/15,4201
1861/11/15,4199.5
1862/7/15,4203
1862/12/15,4201.7
1863/8/15,4202
1863/12/15,4202.8
1864/6/15,4204.7
1864/12/15,4203.3
1865/6/15,4205.4
1865/11/15,4204.8
1866/8/15,4206.9
1866/11/15,4206.4
1867/6/15,4208.5
1867/11/15,4207.6
1868/7/15,4210
1868/10/15,4209.3
1869/7/15,4211.1
1869/11/15,4209.8
1870/6/15,4210.7
1870/12/15,4209.2
1871/6/15,4210.4
1871/11/15,4209.5
1872/6/15,4211.6
1872/12/15,4210.4
1873/7/15,4211.6
1873/12/15,4210.5
1874/6/15,4211.4
1874/12/15,4209.6
1875/8/15,4210.9
1875/9/15,4208.9
1875/10/15,4208.7
1875/11/15,4208.6
1875/12/15,4208.8
1876/1/15,4209
1876/2/15,4209.1
1876/3/15,4209.2
1876/4/15,4209.4
1876/5/15,4209.7
1876/6/15,4210.3
1876/7/15,4210.9
1876/8/15,4210.6
1876/9/15,4210
1876/10/15,4209.9
1877/7/15,4210.4
1877/11/15,4210.2
1877/12/15,4208.9
1878/2/15,4209
1878/4/15,4209.1
1878/5/15,4209.3
1878/7/15,4209.4
1878/8/15,4209.2
1878/11/15,4207.9
1878/12/15,4207.8
1879/5/15,4208.1
1879/8/15,4207.6
1879/11/15,4205.6
1879/12/15,4205.6
1880/1/15,4205.8
1880/2/15,4205.7
1880/3/15,4205.8
1880/4/15,4205.9
1880/5/15,4206.1
1880/6/15,4206.4
1880/7/15,4206.5
1880/8/15,4206.2
1880/9/15,4205.8
1880/10/15,4205.1
1880/11/15,4205
1880/12/15,4204.8
1881/1/15,4204.9
1881/2/15,4205.1
1881/3/15,4205.6
1881/4/15,4205.7
1881/5/15,4206.1
1881/6/15,4206.5
1881/7/15,4206.3
1881/8/15,4206
1881/9/15,4205.5
1881/10/15,4205.2
1881/11/15,4205.1
1881/12/15,4205.1
1882/1/15,4205.2
1882/2/15,4205.3
1882/3/15,4205.4
1882/4/15,4205.7
1882/5/15,4205.9
1882/6/15,4206
1882/7/15,4205.8
1882/8/15,4205.5
1882/9/15,4204.9
1882/10/15,4204.6
1882/11/15,4204.5
1882/12/15,4204.5
1883/1/15,4204.5
1883/2/15,4204.5
1883/3/15,4204.6
1883/4/15,4204.7
1883/5/15,4205.1
1883/9/15,4205
1883/10/15,4204.1
1883/11/15,4203.7
1883/12/15,4203.5
1884/1/15,4203.5
1884/2/15,4203.5
1884/3/15,4203.7
1884/4/15,4204.1
1884/5/15,4204.7
1884/6/15,4205.5
1884/7/15,4205.9
1884/8/15,4205.7
1884/9/15,4205.5
1884/10/15,4205.5
1884/11/15,4205.4
1884/12/15,4205.3
1885/1/15,4205.6
1885/2/15,4205.8
1885/3/15,4206
1885/4/15,4206.3
1885/5/15,4206.6
1885/6/15,4207
1885/7/15,4207.3
1885/8/15,4207.1
1885/9/15,4206.7
1885/10/15,4206.5
1885/11/15,4206.4
1885/12/15,4206.2
1886/1/15,4206.5
1886/2/15,4206.8
1886/3/15,4207.1
1886/4/15,4207.3
1886/5/15,4207.5
1886/6/15,4207.7
1886/8/15,4207.3
1886/10/15,4206.7
1886/11/15,4206.5
1887/1/15,4206.7
1887/2/15,4206.6
1887/3/15,4206.8
1887/4/15,4206.9
1887/5/15,4206.9
1887/6/15,4207.2
1887/7/15,4207
1887/8/15,4206.6
1887/9/15,4206.2
1887/10/15,4205.8
1887/11/15,4205.6
1888/1/15,4205.6
1888/2/15,4205.7
1888/3/15,4205.8
1888/4/15,4206.1
